date,symbol,action,reason,new_stop,r_close,hold_days
2026-01-23,000739.SZ,HOLD,HOLD: close>=+1R but stop already >= target 17.550,17.55,1.2667,8
2026-01-23,600433.SH,HOLD,HOLD: no stop raise,3.35,0.2308,5
2026-01-23,603165.SH,HOLD,HOLD: close>=+2R but stop already >= target 13.700,13.7,3.1111,8
