date,symbol,action,reason,new_stop,r_close,hold_days
2026-01-22,000739.SZ,HOLD,HOLD: no stop raise,17.55,0.9733,7
2026-01-22,600433.SH,HOLD,HOLD: no stop raise,3.35,0.3077,4
2026-01-22,603165.SH,HOLD,HOLD: close>=+2R but stop already >= target 13.700,13.7,3.9111,7
