stock,ratio
电工合金,3.7964657712732413
航天工程,3.643925485760456
金信诺,3.3997304196156373
江波龙,2.7195768496273494
中孚实业,2.4731588687194086
潍柴重机,2.286537947004949
朗科科技,2.0960051437448306
正和生态,2.055784382550305
宁波建工,2.053819540137477
景旺电子,1.9898147260872963
白银有色,1.8576267509773468
神火股份,1.8069476684384873
云铝股份,1.8007708870940156
通鼎互联,1.7656744179182842
快克智能,1.676761601107123
宏和科技,1.6660587815640806
焦作万方,1.642235514834386
塞力医疗,1.5491712577718992
铜陵有色,1.5277323928771345
金禄电子,1.5257640353621462
扬杰科技,1.5207277771157106
英诺激光,1.515261084982915
鼎泰高科,1.4991319203952533
艾华集团,1.4756654458830794
溯联股份,1.4592956200362783
吉林高速,1.387006956667215
铜牛信息,1.3531171426021162
宏发股份,1.3463829484989145
智微智能,1.3373658081551418
兆易创新,1.3310213682883982
金诚信,1.327683623776243
奥飞数据,1.2718472993631438
宏创控股,1.2431321759204965
园林股份,1.2415409904399595
华工科技,1.235462258784741
良信股份,1.2321996544788418
巨化股份,1.2246361554179546
数据港,1.1755081004431553
旭光电子,1.1364295450007262
国光连锁,1.1341709503557305
平安电工,1.1165566547731516
德力股份,1.108313973193086
中银证券,1.1062166888466025
大丰实业,1.0788299016204068
宏景科技,1.0765060848640033
隆扬电子,1.0702156881996652
旋极信息,1.0664454229080196
光迅科技,1.0663323389427164
洛阳钼业,1.0585122634628028
金钼股份,1.05380689989538
甘咨询,1.0098811462749322
东睦股份,1.009358524083713
通达动力,0.9970370495407997
全志科技,0.9898509602528562
瑞芯微,0.9851299577853807
飞乐音响,0.9662678910892559
能科科技,0.9629733578330921
北方铜业,0.9543602296857605
同飞股份,0.9533492309593758
浦东建设,0.9523102019834558
英维克,0.9301715030689267
中国稀土,0.9240768461179347
罗曼股份,0.8797996707226738
天沃科技,0.8666450447912182
和而泰,0.845686727942278
安科瑞,0.8142312935252701
剑桥科技,0.7954073789666346
博通集成,0.7865592247966279
佳讯飞鸿,0.7771146578491464
戴维医疗,0.7732864284456479
迪安诊断,0.7568521423897403
万控智造,0.7290321086582321
海容冷链,0.7276077687972264
百傲化学,0.6979821549318878
海伦钢琴,0.6973102999863168
超达装备,0.6919369350242314
津荣天宇,0.6593750666158453
启迪药业,0.6546213782234244
先锋电子,0.651330243637945
亚翔集成,0.6457323569259039
华建集团,0.6299362408047982
特发信息,0.6192448781552141
世纪瑞尔,0.5775352495844339
皇马科技,0.5209727926807775
