stock,ratio
金杯电工,3.0844481489437063
赤峰黄金,2.4520544978220005
有友食品,1.941149911013568
山金国际,1.8887775634055222
青岛银行,1.8318155670339278
联科科技,1.676871331114256
震裕科技,1.5945933803031207
盛帮股份,1.5638151162984917
麦加芯彩,1.4759660947213902
中宠股份,1.474385315443496
甘李药业,1.4277285756412388
江南奕帆,1.2850996968129702
天地数码,1.26391415642914
湖南黄金,1.2000678419459798
中熔电气,1.0854431526772204
联合精密,1.0485479312813775
美力科技,0.9805481394658969
咸亨国际,0.9526542816939159
远翔新材,0.9018503497034013
武汉凡谷,0.827508424667939
百洋股份,0.8236579335864932
若羽臣,0.793575367122453
移远通信,0.7701084568151524
晓鸣股份,0.7569924599287596
新农股份,0.7214448194958428
浙江自然,0.720389857005779
依依股份,0.6995252437246942
春风动力,0.6313034356102041
本川智能,0.4828280118769549
中农联合,0.38494345122484314
