stock,ratio
立霸股份,4.353572518685274
曲江文旅,2.6270980471355143
天沃科技,2.6119446331602965
丰山集团,2.308485355805801
百傲化学,1.897922732594174
飞力达,1.58433107280436
皇马科技,1.5057916635173252
科创新源,1.4277981696520539
成飞集成,1.3933214401271563
华瓷股份,1.3924982079480681
佳都科技,1.2902604442719057
金城医药,1.2184590961132589
神火股份,1.1302926795615948
江山股份,1.0621896475423938
北方导航,1.0275690975775749
中国巨石,0.9984705362342556
麒盛科技,0.8783037674657355
宏创控股,0.8410351942565548
药明康德,0.7802174704509846
中谷物流,0.7729482098468422
中熔电气,0.6837997950104058
彩虹集团,0.6825176917473202
鑫宏业,0.6613855086003491
德创环保,0.6281032814506177
天山铝业,0.6205816394557827
盛达资源,0.5444827098880837
豫光金铅,0.5012615026603132
华升股份,0.49177506454598585
