date,symbol,action,reason,new_stop,r_close,hold_days
2026-01-15,000739.SZ,HOLD,HOLD: no stop raise,16.8,0.7733,2
2026-01-15,603165.SH,HOLD,HOLD: no stop raise,12.8,-0.8737,2
