stock,ratio
圣元环保,4.3854947305432255
金徽股份,3.101624447567032
石基信息,3.07887862533154
宏英智能,2.304000828264903
联美控股,2.2462239855513615
中一科技,2.2265403997892292
家联科技,2.2234932069297555
海辰药业,2.0573204727782812
新化股份,2.039806313056885
天铁科技,1.7488090387473865
海象新材,1.579598967811756
共进股份,1.4854945954928254
甘李药业,1.3825790293713682
剑桥科技,1.2941094461018692
大众公用,1.2467463347830947
天亿马,1.2242620737399517
华友钴业,1.0116724402370276
豫光金铅,1.0010481171981653
中金黄金,0.9181805239446896
洛阳钼业,0.9068975088088915
藏格矿业,0.8996024504692388
大博医疗,0.8619790564574727
华康洁净,0.8281386266980576
福能股份,0.7389623157082462
恒瑞医药,0.7094087721798664
山东黄金,0.7003165871148096
铜陵有色,0.6897489860739976
云南铜业,0.6787603221768741
中广核技,0.6311274452841098
嘉戎技术,0.6150346654202695
