stock,ratio
新宁物流,5.084406194714548
浙江世宝,4.454885224818449
无锡振华,3.4136943585731157
天龙股份,3.039498402626334
富特科技,2.787788383766372
多伦科技,2.7458815163469517
富春股份,2.658452139956936
君禾股份,2.266919570784704
九华旅游,2.1957111713506903
五洋自控,2.159765556478389
劲旅环境,2.119401458704205
玉禾田,1.969518417482926
福龙马,1.8938467246644108
盈峰环境,1.771999228766256
绿通科技,1.659269853152041
唯科科技,1.4894708194382151
乐普医疗,1.4228357885577172
通达动力,1.3642129749631355
塞力医疗,1.3404691912512652
久其软件,1.3373723554747872
川润股份,1.3204543166389777
嵘泰股份,1.3041471356015137
启迪药业,1.2234535525253658
中信重工,1.1920596848261482
探路者,1.1580915247957824
领益智造,1.1389174303917382
卡倍亿,1.131144533166034
能科科技,1.1234415447568087
拓维信息,1.0568259878717887
道恩股份,1.0350014749750593
岩山科技,1.025115354108312
隆扬电子,1.023310627222199
智微智能,1.0190638464133164
甘咨询,1.0082712819536241
光迅科技,0.9875303432748568
东方精工,0.9874360291628682
东阳光,0.982184609404224
中联重科,0.9771881295825168
御银股份,0.9527197788395855
浙江东方,0.9396296793306296
银轮股份,0.9236928687720879
康辰药业,0.9193754041382172
奥瑞德,0.8974909321020721
赛意信息,0.8695589891200819
好莱客,0.8508425159933285
熵基科技,0.841693565834912
江山股份,0.8345448410426595
狮头股份,0.8306069324133762
科泰电源,0.8238290488046315
长飞光纤,0.7869446268084672
顺网科技,0.7863470465854848
德固特,0.7766629742278605
金诚信,0.7626073455656043
科华控股,0.7606173281167432
中科创达,0.7545668413989515
浙数文化,0.7466472557816792
铜牛信息,0.7425379265466817
华升股份,0.7165857704886951
彩虹集团,0.7144420719770742
顺威股份,0.6982941182316126
祥和实业,0.6710519425796221
本立科技,0.6404226605049972
共进股份,0.6330507297833564
恒锋信息,0.6194023810800915
瑞芯微,0.6192961379026963
依米康,0.6134926908356059
皇马科技,0.6112580332242546
佳都科技,0.5851820289138051
新华网,0.5598379984258981
新雷能,0.5533079331367501
华瓷股份,0.4451020429504728
澳洋健康,0.2702966969508914
