stock,ratio
迪阿股份,4.511820814102792
西安银行,3.9539547647271616
普蕊斯,3.7142304530021786
矩阵股份,2.447051611363649
思维列控,2.266970849661355
津荣天宇,2.0977743280757157
东土科技,2.0969057771227604
北方股份,1.9406548515025672
欢瑞世纪,1.7971134614799606
安克创新,1.6228502673229563
硅宝科技,1.603791723064633
理邦仪器,1.5254972429874394
九洲药业,1.4743075727058248
浙大网新,1.4038330715541418
凯莱英,1.3650751442245053
依依股份,1.3006451249241766
中一科技,1.2857000696127556
本立科技,1.26476785802876
电工合金,1.2477525373856098
乖宝宠物,1.2367509574575648
北方导航,1.2332734567717263
海能实业,1.2146573762966253
康达新材,1.1455501670542008
超达装备,1.1286866018221238
焦点科技,1.1153096968438634
宁波建工,1.1129133859831084
圣阳股份,1.032430377416756
神火股份,1.0166405764112556
常润股份,1.004427411451771
汉威科技,0.9778716573013607
甘咨询,0.9636227907352111
蓝黛科技,0.9177491551551827
巨星农牧,0.9085275000539851
美丽生态,0.8951405294435074
华业香料,0.8899844688935583
拓山重工,0.8716985164473099
可立克,0.8525449892223762
甘肃能源,0.8522961888763059
戴维医疗,0.8283102824910624
宏发股份,0.8223433279508149
麦加芯彩,0.7832817149733667
法兰泰克,0.7737242374875548
探路者,0.7301681528493593
