date,symbol,action,reason,new_stop,r_close,hold_days
2026-02-27,000035.SZ,HOLD,"RAISE_STOP: close>=+2R, stop 6.150->6.590 (target 6.590)",6.59,2.9091,2
2026-02-27,000035.SZ,HOLD,"RAISE_STOP: close>=+2R, stop 6.300->6.700 (target 6.700)",6.7,2.55,1
2026-02-27,002933.SZ,HOLD,HOLD: no stop raise,36.0,0.2478,4
