date,symbol,action,reason,new_stop,r_close,hold_days
2026-01-15,000739.SZ,HOLD,HOLD: no stop raise,16.8,0.7733,2.0
,603165.SZ,HOLD,NO_SYMBOL_DATA,12.8,,
